Classification,Year,Month,Province,City,Total AUOM Masked
Marine Paints,2023,12,CEBU,DANAO CITY," 11,880 "
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE," 11,820 "
Marine Paints,2023,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 11,760 "
Marine Paints,2022,6,CAVITE,TANZA," 11,670 "
Marine Paints,2022,12,CEBU,CITY OF BOGO," 11,610 "
Marine Paints,2022,2,MISAMIS ORIENTAL,VILLANUEVA," 11,520 "
Marine Paints,2022,9,CEBU,CEBU CITY," 11,520 "
Marine Paints,2022,6,BATANGAS,CITY OF TANAUAN," 11,475 "
Marine Paints,2022,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 11,370 "
Marine Paints,2023,5,BATANGAS,SANTO TOMAS," 11,340 "
Marine Paints,2022,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 11,190 "
Marine Paints,2023,9,CAVITE,CITY OF GENERAL TRIAS," 11,160 "
Marine Paints,2022,8,LAGUNA,CITY OF SANTA ROSA," 11,100 "
Marine Paints,2022,9,BATANGAS,CITY OF TANAUAN," 10,920 "
Marine Paints,2022,5,CAVITE,TANZA," 10,890 "
Marine Paints,2023,10,CAVITE,CAVITE CITY," 10,875 "
Marine Paints,2023,5,BATAAN,ORION," 10,800 "
Marine Paints,2023,12,BATANGAS,MABINI," 10,635 "
Marine Paints,2022,11,PAMPANGA,MABALACAT CITY," 10,620 "
Marine Paints,2023,2,RIZAL,BINANGONAN," 10,560 "
Marine Paints,2023,9,CEBU,CONSOLACION," 10,530 "
Marine Paints,2023,5,PAMPANGA,APALIT," 10,500 "
Marine Paints,2023,11,BATANGAS,SANTO TOMAS," 10,500 "
Marine Paints,2022,2,CEBU,CEBU CITY (Capital)," 10,455 "
Marine Paints,2022,1,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 10,440 "
Marine Paints,2022,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 10,440 "
Marine Paints,2022,7,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 10,380 "
Marine Paints,2022,4,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 10,320 "
Marine Paints,2022,9,CAVITE,NAIC," 10,320 "
Marine Paints,2022,5,PANGASINAN,SUAL," 10,290 "
Marine Paints,2022,2,CAVITE,CARMONA," 10,260 "
Marine Paints,2022,9,CAVITE,ROSARIO," 10,140 "
Marine Paints,2023,4,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 10,080 "
Marine Paints,2023,9,BATANGAS,SANTO TOMAS," 10,080 "
Marine Paints,2022,10,CAVITE,TANZA," 9,915 "
Marine Paints,2023,4,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY," 9,855 "
Marine Paints,2022,8,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 9,600 "
Marine Paints,2022,12,CAVITE,TANZA," 9,600 "
Marine Paints,2023,8,CEBU,LAPU-LAPU CITY (OPON)," 9,540 "
Marine Paints,2022,8,MISAMIS ORIENTAL,VILLANUEVA," 9,510 "
Marine Paints,2022,7,ILOILO,ILOILO CITY," 9,450 "
Marine Paints,2022,5,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 9,435 "
Marine Paints,2023,7,CAVITE,TANZA," 9,330 "
Marine Paints,2022,2,RIZAL,BINANGONAN," 9,285 "
Marine Paints,2023,12,PANGASINAN,SUAL," 9,150 "
Marine Paints,2022,12,BATANGAS,CALACA," 9,000 "
Marine Paints,2022,4,MISAMIS ORIENTAL,VILLANUEVA," 8,970 "
Marine Paints,2023,5,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 8,940 "
Marine Paints,2023,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 8,910 "
Marine Paints,2022,4,QUEZON,PAGBILAO," 8,880 "
Marine Paints,2023,6,LAGUNA,CITY OF SANTA ROSA," 8,880 "
Marine Paints,2023,2,BATANGAS,BATANGAS CITY (Capital)," 8,760 "
Marine Paints,2023,12,LAGUNA,CITY OF SANTA ROSA," 8,760 "
Marine Paints,2022,3,RIZAL,CAINTA," 8,700 "
Marine Paints,2022,1,CEBU,CONSOLACION," 8,640 "
Marine Paints,2023,5,BULACAN,CITY OF MEYCAUAYAN," 8,640 "
Marine Paints,2022,6,CEBU,CITY OF BOGO," 8,640 "
Marine Paints,2022,8,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 8,640 "
Marine Paints,2022,8,CAVITE,TANZA," 8,610 "
Marine Paints,2023,5,CAVITE,CITY OF DASMARI헤S," 8,580 "
Marine Paints,2022,9,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 8,580 "
Marine Paints,2023,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 8,520 "
Marine Paints,2022,2,BATANGAS,SANTO TOMAS," 8,490 "
Marine Paints,2023,3,BULACAN,GUIGUINTO," 8,400 "
Marine Paints,2022,10,CAVITE,ROSARIO," 8,400 "
Marine Paints,2022,3,MISAMIS ORIENTAL,VILLANUEVA," 8,385 "
Marine Paints,2023,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO," 8,340 "
Marine Paints,2023,11,PAMPANGA,MABALACAT CITY," 8,280 "
Marine Paints,2022,5,LAGUNA,CITY OF SANTA ROSA," 8,160 "
Marine Paints,2022,7,CAVITE,ROSARIO," 8,160 "
Marine Paints,2022,10,BATANGAS,BATANGAS CITY (Capital)," 8,160 "
Marine Paints,2022,4,CEBU,CITY OF BOGO," 8,100 "
Marine Paints,2023,7,BATANGAS,SANTO TOMAS," 8,100 "
Marine Paints,2023,10,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 8,100 "
Marine Paints,2023,12,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY," 8,100 "
Marine Paints,2023,3,LAGUNA,CITY OF BI헤N," 8,010 "
Marine Paints,2023,4,BATAAN,ORION," 7,920 "
Marine Paints,2022,8,QUEZON,PAGBILAO," 7,860 "
Marine Paints,2023,12,CEBU,LAPU-LAPU CITY (OPON)," 7,845 "
Marine Paints,2022,10,CEBU,CEBU CITY," 7,800 "
Marine Paints,2022,10,MISAMIS ORIENTAL,VILLANUEVA," 7,785 "
Marine Paints,2022,5,MISAMIS ORIENTAL,VILLANUEVA," 7,740 "
Marine Paints,2023,5,LAGUNA,CITY OF SANTA ROSA," 7,740 "
Marine Paints,2022,9,LAGUNA,CITY OF BI헤N," 7,740 "
Marine Paints,2023,2,MISAMIS ORIENTAL,VILLANUEVA," 7,710 "
Marine Paints,2022,1,CAVITE,CAVITE CITY," 7,560 "
Marine Paints,2022,11,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 7,560 "
Marine Paints,2023,4,BATAAN,MARIVELES," 7,500 "
Marine Paints,2023,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 7,500 "
Marine Paints,2023,5,BATANGAS,BATANGAS CITY (Capital)," 7,500 "
Marine Paints,2023,12,BATANGAS,SANTO TOMAS," 7,500 "
Marine Paints,2023,9,QUEZON,PAGBILAO," 7,410 "
Marine Paints,2023,10,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 7,380 "
Marine Paints,2023,10,PAMPANGA,MABALACAT CITY," 7,380 "
Marine Paints,2023,3,ZAMBOANGA DEL SUR,ZAMBOANGA," 7,320 "
Marine Paints,2023,2,CAVITE,TANZA," 7,290 "
Marine Paints,2023,3,BULACAN,CITY OF MEYCAUAYAN," 7,200 "
Marine Paints,2023,4,CAVITE,CARMONA," 7,200 "
Marine Paints,2023,4,LAGUNA,CITY OF SANTA ROSA," 7,200 "
Marine Paints,2022,5,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 7,200 "
Marine Paints,2023,8,BULACAN,CITY OF MEYCAUAYAN," 7,200 "
Marine Paints,2023,2,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA," 7,140 "
Marine Paints,2023,3,CEBU,SAN REMIGIO," 7,140 "
Marine Paints,2023,7,BATANGAS,LEMERY," 7,140 "
Marine Paints,2022,10,LAGUNA,CITY OF CALAMBA," 7,140 "
Marine Paints,2023,8,BATANGAS,BAUAN," 7,020 "
Marine Paints,2023,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 7,020 "
Marine Paints,2022,3,BULACAN,SANTA MARIA," 6,960 "
Marine Paints,2022,5,CAVITE,CARMONA," 6,900 "
Marine Paints,2022,10,BATANGAS,LEMERY," 6,840 "
Marine Paints,2023,10,CAVITE,ROSARIO," 6,840 "
Marine Paints,2023,12,PAMPANGA,MABALACAT CITY," 6,840 "
Marine Paints,2023,6,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 6,810 "
Marine Paints,2023,11,JASAAN,MISAMIS ORIENTAL," 6,810 "
Marine Paints,2022,12,CAVITE,ROSARIO," 6,780 "
Marine Paints,2022,9,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 6,750 "
Marine Paints,2022,12,BULACAN,BOCAUE," 6,720 "
Marine Paints,2023,8,CEBU,CONSOLACION," 6,660 "
Marine Paints,2023,9,BATANGAS,BAUAN," 6,660 "
Marine Paints,2023,6,CAVITE,CARMONA," 6,600 "
Marine Paints,2023,8,CAVITE,CARMONA," 6,600 "
Marine Paints,2023,11,CAVITE,CARMONA," 6,600 "
Marine Paints,2022,8,PAMPANGA,APALIT," 6,480 "
Marine Paints,2023,7,CAVITE,ROSARIO," 6,360 "
Marine Paints,2022,1,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 6,300 "
Marine Paints,2022,5,RIZAL,BINANGONAN," 6,300 "
Marine Paints,2022,8,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA," 6,240 "
Marine Paints,2022,10,CEBU,CEBU," 6,240 "
Marine Paints,2023,2,LAGUNA,CITY OF SANTA ROSA," 6,180 "
Marine Paints,2023,11,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA," 6,090 "
Marine Paints,2022,9,RIZAL,CAINTA," 6,060 "
Marine Paints,2022,3,BATANGAS,CALACA," 6,000 "
Marine Paints,2022,5,RIZAL,CAINTA," 6,000 "
Marine Paints,2022,7,CEBU,SAN FERNANDO," 6,000 "
Marine Paints,2022,8,CAVITE,CARMONA," 6,000 "
Marine Paints,2022,4,CEBU,CEBU CITY," 5,940 "
Marine Paints,2023,10,LEYTE,BABATNGON," 5,940 "
Marine Paints,2022,4,CAVITE,ROSARIO," 5,880 "
Marine Paints,2022,4,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 5,880 "
Marine Paints,2023,10,CEBU,CARMEN," 5,820 "
Marine Paints,2022,4,CEBU,DANAO CITY," 5,775 "
Marine Paints,2022,4,BULACAN,SANTA MARIA," 5,760 "
Marine Paints,2023,5,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA CRUZ," 5,760 "
Marine Paints,2022,7,CEBU,SAN REMIGIO," 5,760 "
Marine Paints,2022,8,BATANGAS,BAUAN," 5,700 "
Marine Paints,2022,3,MISAMIS ORIENTAL,GINGOOG CITY," 5,580 "
Marine Paints,2023,5,PAMPANGA,MABALACAT CITY," 5,580 "
Marine Paints,2023,7,PAMPANGA,MABALACAT CITY," 5,580 "
Marine Paints,2023,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO," 5,520 "
Marine Paints,2023,9,BULACAN,CITY OF MEYCAUAYAN," 5,520 "
Marine Paints,2023,6,BATANGAS,LEMERY," 5,460 "
Marine Paints,2022,3,BATANGAS,MABINI," 5,400 "
Marine Paints,2022,4,SOUTH COTABATO,GENEAL SANTOS CITY," 5,400 "
Marine Paints,2022,12,BATANGAS,CITY OF TANAUAN," 5,400 "
Marine Paints,2022,1,CAVITE,SILANG," 5,340 "
Marine Paints,2023,4,ILOILO,ILOILO CITY," 5,340 "
Marine Paints,2022,8,BATANGAS,SANTO TOMAS," 5,340 "
Marine Paints,2023,9,CEBU,LILOAN," 5,340 "
Marine Paints,2022,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 5,280 "
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 5,280 "
Marine Paints,2022,10,BATANGAS,SANTO TOMAS," 5,280 "
Marine Paints,2023,3,CAVITE,KAWIT," 5,265 "
Marine Paints,2022,7,BATANGAS,SANTO TOMAS," 5,220 "
Marine Paints,2023,6,CAVITE,CITY OF GENERAL TRIAS," 5,160 "
Marine Paints,2023,3,CEBU,CEBU CITY," 5,100 "
Marine Paints,2023,7,PAMPANGA,APALIT," 5,100 "
Marine Paints,2022,4,BATAAN,MARIVELES," 5,040 "
Marine Paints,2022,4,CAMARINES SUR,ALBAY," 5,040 "
Marine Paints,2023,8,PAMPANGA,MABALACAT CITY," 4,980 "
Marine Paints,2023,7,SOUTH COTABATO,GENEAL SANTOS CITY," 4,920 "
Marine Paints,2023,11,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 4,920 "
Marine Paints,2022,2,LAGUNA,CITY OF SAN PEDRO," 4,800 "
Marine Paints,2022,3,RIZAL,BINANGONAN," 4,800 "
Marine Paints,2022,4,BULACAN,CITY OF MEYCAUAYAN," 4,800 "
Marine Paints,2022,6,BULACAN,CITY OF MEYCAUAYAN," 4,800 "
Marine Paints,2022,7,BULACAN,CITY OF MEYCAUAYAN," 4,800 "
Marine Paints,2022,8,BULACAN,CITY OF MEYCAUAYAN," 4,800 "
Marine Paints,2022,9,BOHOL,BUENAVISTA," 4,800 "
Marine Paints,2023,10,BULACAN,CITY OF MEYCAUAYAN," 4,800 "
Marine Paints,2023,11,BULACAN,CITY OF MEYCAUAYAN," 4,800 "
Marine Paints,2023,6,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 4,740 "
Marine Paints,2023,12,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 4,740 "
Marine Paints,2022,1,PAMPANGA,MABALACAT CITY," 4,620 "
Marine Paints,2023,8,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 4,620 "
Marine Paints,2023,2,BOHOL,BUENAVISTA," 4,560 "
Marine Paints,2022,4,BATANGAS,MABINI," 4,560 "
Marine Paints,2022,7,PAMPANGA,MABALACAT CITY," 4,560 "
Marine Paints,2022,11,BATANGAS,CITY OF TANAUAN," 4,560 "
Marine Paints,2023,11,BULACAN,BOCAUE," 4,560 "
Marine Paints,2023,5,ILOILO,ILOILO," 4,500 "
Marine Paints,2023,6,CAVITE,CITY OF DASMARI헤S," 4,440 "
Marine Paints,2023,7,BULACAN,SANTA MARIA," 4,440 "
Marine Paints,2023,9,BATANGAS,LEMERY," 4,440 "
Marine Paints,2023,10,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 4,440 "
Marine Paints,2023,8,CEBU,CEBU CITY," 4,350 "
Marine Paints,2022,11,CAVITE,TANZA," 4,305 "
Marine Paints,2023,3,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 4,230 "
Marine Paints,2023,9,BATANGAS,MABINI," 4,200 "
Marine Paints,2023,10,LAGUNA,SANTA CRUZ (Capital)," 4,200 "
Marine Paints,2023,9,CEBU,LAPU-LAPU CITY (OPON)," 4,140 "
Marine Paints,2022,4,CAVITE,TANZA," 4,110 "
Marine Paints,2023,9,CAVITE,CITY OF DASMARI헤S," 4,080 "
Marine Paints,2023,6,"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY," 4,050 "
Marine Paints,2022,10,CAVITE,GEN. MARIANO ALVAREZ," 4,050 "
Marine Paints,2023,7,RIZAL,CITY OF ANTIPOLO," 4,020 "
Marine Paints,2023,12,CEBU,BALAMBAN," 4,020 "
Marine Paints,2022,11,BATANGAS,BATANGAS CITY (Capital)," 3,990 "
Marine Paints,2022,8,CEBU,LAPU-LAPU CITY (OPON)," 3,975 "
Marine Paints,2022,3,CAVITE,ROSARIO," 3,960 "
Marine Paints,2023,3,BATANGAS,BATANGAS CITY (Capital)," 3,960 "
Marine Paints,2023,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 3,960 "
Marine Paints,2023,4,LA UNION,BAUANG," 3,960 "
Marine Paints,2023,6,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 3,960 "
Marine Paints,2022,8,BOHOL,BUENAVISTA," 3,960 "
Marine Paints,2022,10,LAGUNA,CITY OF BI헤N," 3,960 "
Marine Paints,2022,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PORT AREA," 3,900 "
Marine Paints,2023,5,CEBU,BALAMBAN," 3,900 "
Marine Paints,2022,10,SOUTH COTABATO,GENEERAL SANTOS CITY," 3,870 "
Marine Paints,2022,5,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital)," 3,840 "
Marine Paints,2022,5,ZAMBALES,SUBIC," 3,840 "
Marine Paints,2022,10,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 3,840 "
Marine Paints,2022,10,RIZAL,CITY OF ANTIPOLO," 3,825 "
Marine Paints,2023,12,BULACAN,CITY OF MALOLOS (CAPITAL)," 3,810 "
Marine Paints,2022,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",SANTA ANA," 3,780 "
Marine Paints,2023,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 3,780 "
Marine Paints,2023,8,CAVITE,CITY OF DASMARI헤S," 3,780 "
Marine Paints,2022,9,BULACAN,CITY OF MEYCAUAYAN," 3,780 "
Marine Paints,2023,11,RIZAL,BARAS," 3,780 "
Marine Paints,2022,4,PAMPANGA,MABALACAT CITY," 3,720 "
Marine Paints,2022,7,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",PACO," 3,720 "
Marine Paints,2022,9,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 3,720 "
Marine Paints,2023,10,LAGUNA,CITY OF BI헤N," 3,720 "
Marine Paints,2022,12,CAVITE,NAIC," 3,660 "
Marine Paints,2023,5,LAGUNA,SANTA CRUZ (Capital)," 3,600 "
Marine Paints,2023,7,CAVITE,SILANG," 3,600 "
Marine Paints,2023,11,BATANGAS,BATANGAS CITY (Capital)," 3,600 "
Marine Paints,2023,6,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 3,540 "
Marine Paints,2022,10,CEBU,SAN FERNANDO," 3,540 "
Marine Paints,2022,3,PAMPANGA,MABALACAT CITY," 3,480 "
Marine Paints,2023,4,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 3,480 "
Marine Paints,2022,10,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 3,480 "
Marine Paints,2023,9,CAVITE,ROSARIO," 3,360 "
Marine Paints,2023,10,BATANGAS,SANTO TOMAS," 3,360 "
Marine Paints,2023,3,BATANGAS,LIPA CITY," 3,300 "
Marine Paints,2023,3,PAMPANGA,MABALACAT CITY," 3,300 "
Marine Paints,2022,1,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 3,240 "
Marine Paints,2023,6,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 3,240 "
Marine Paints,2023,7,CAVITE,CITY OF DASMARI헤S," 3,240 "
Marine Paints,2023,8,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",MALATE," 3,180 "
Marine Paints,2022,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 3,180 "
Marine Paints,2023,2,BULACAN,SANTA MARIA," 3,120 "
Marine Paints,2023,3,LAGUNA,CITY OF SANTA ROSA," 3,060 "
Marine Paints,2022,6,CAVITE,ROSARIO," 3,060 "
Marine Paints,2023,11,CEBU,CITY OF NAGA," 3,045 "
Marine Paints,2022,1,BATANGAS,SANTO TOMAS," 3,000 "
Marine Paints,2022,1,BATANGAS,LIPA CITY," 3,000 "
Marine Paints,2022,4,BATANGAS,CITY OF TANAUAN," 3,000 "
Marine Paints,2022,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 3,000 "
Marine Paints,2023,5,CAVITE,CARMONA," 3,000 "
Marine Paints,2022,6,BATANGAS,AGONCILLO," 3,000 "
Marine Paints,2023,7,BULACAN,GUIGUINTO," 3,000 "
Marine Paints,2022,11,BULACAN,CITY OF MALOLOS (CAPITAL)," 3,000 "
Marine Paints,2022,11,CAVITE,CARMONA," 3,000 "
Marine Paints,2023,11,BATANGAS,CALACA," 3,000 "
Marine Paints,2022,12,BULACAN,CITY OF MALOLOS (CAPITAL)," 3,000 "
Marine Paints,2022,12,CAVITE,CARMONA," 3,000 "
Marine Paints,2023,12,ZAMBALES,OLONGAPO CITY," 3,000 "
Marine Paints,2022,2,BATANGAS,CALACA," 2,880 "
Marine Paints,2023,2,CEBU,CITY OF NAGA," 2,880 "
Marine Paints,2023,3,BATANGAS,BAUAN," 2,880 "
Marine Paints,2022,5,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 2,880 "
Marine Paints,2022,5,PAMPANGA,MABALACAT CITY," 2,880 "
Marine Paints,2022,7,CAVITE,CITY OF DASMARI헤S," 2,880 "
Marine Paints,2023,8,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 2,880 "
Marine Paints,2023,10,CAVITE,CITY OF DASMARI헤S," 2,880 "
Marine Paints,2022,5,MISAMIS ORIENTAL,GINGOOG CITY," 2,850 "
Marine Paints,2022,12,CEBU,LAPU-LAPU CITY (OPON)," 2,850 "
Marine Paints,2022,2,PAMPANGA,PORAC," 2,820 "
Marine Paints,2022,7,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 2,820 "
Marine Paints,2022,10,BATANGAS,BAUAN," 2,820 "
Marine Paints,2022,3,BATANGAS,SANTO TOMAS," 2,760 "
Marine Paints,2023,4,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 2,760 "
Marine Paints,2023,5,BATANGAS,LIPA CITY," 2,760 "
Marine Paints,2022,6,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARA헤QUE," 2,760 "
Marine Paints,2022,6,RIZAL,CAINTA," 2,760 "
Marine Paints,2023,11,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 2,760 "
Marine Paints,2023,3,CEBU,LAPU-LAPU CITY (OPON)," 2,700 "
Marine Paints,2023,7,"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI," 2,700 "
Marine Paints,2022,11,BULACAN,PLARIDEL," 2,700 "
Marine Paints,2023,2,CAVITE,ROSARIO," 2,640 "
Marine Paints,2023,3,CEBU,MINGLANILLA," 2,640 "
Marine Paints,2022,6,CAVITE,CITY OF DASMARI헤S," 2,640 "
Marine Paints,2022,6,RIZAL,CITY OF ANTIPOLO," 2,640 "
Marine Paints,2022,8,CAVITE,NAIC," 2,640 "
Marine Paints,2022,9,CAVITE,CITY OF DASMARI헤S," 2,640 "
Marine Paints,2023,9,PAMPANGA,MABALACAT CITY," 2,640 "
Marine Paints,2022,11,CAVITE,CITY OF DASMARI헤S," 2,640 "
Marine Paints,2022,5,BATAAN,MARIVELES," 2,625 "
Marine Paints,2023,11,CEBU,CARMEN," 2,610 "
Marine Paints,2022,3,CAMARINES SUR,NAGA CITY," 2,580 "
Marine Paints,2022,6,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital)," 2,580 "
Marine Paints,2023,8,LAGUNA,CITY OF BI헤N," 2,580 "
Marine Paints,2022,9,PAMPANGA,APALIT," 2,580 "
Marine Paints,2022,6,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",BINONDO," 2,520 "
Marine Paints,2023,6,BATAAN,ORION," 2,520 "
Marine Paints,2022,12,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",ERMITA," 2,520 "
Marine Paints,2022,7,SOUTH COATABATO,GENERAL SANTOS CITY," 2,460 "
Marine Paints,2022,8,PAMPANGA,MABALACAT CITY," 2,460 "
Marine Paints,2022,9,MISAMIS ORIENTAL,BALINGOAN," 2,460 "
Marine Paints,2022,9,PAMPANGA,MABALACAT CITY," 2,460 "
Marine Paints,2023,12,RIZAL,BINANGONAN," 2,430 "
Marine Paints,2022,2,BULACAN,CITY OF MEYCAUAYAN," 2,400 "
Marine Paints,2022,3,BULACAN,CITY OF MEYCAUAYAN," 2,400 "
Marine Paints,2023,3,LAGUNA,CITY OF SAN PEDRO," 2,400 "
Marine Paints,2023,4,BATANGAS,SANTO TOMAS," 2,400 "
Marine Paints,2023,5,CEBU,CITY OF BOGO," 2,400 "
Marine Paints,2023,6,BULACAN,CITY OF MEYCAUAYAN," 2,400 "
Marine Paints,2023,7,BULACAN,CITY OF MEYCAUAYAN," 2,400 "
Marine Paints,2023,7,LAGUNA,CITY OF SAN PEDRO," 2,400 "
Marine Paints,2022,8,LAGUNA,CITY OF SAN PEDRO," 2,400 "
